"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2012","1,940","1,930","1,950","1,930","5.07M","0.52%"
"03/05/2012","1,930","1,930","1,940","1,920","2.11M","-0.52%"
"03/06/2012","1,900","1,920","1,920","1,880","8.00M","-1.55%"
"03/07/2012","1,850","1,880","1,880","1,840","15.34M","-2.63%"
"03/08/2012","1,870","1,850","1,870","1,850","5.40M","1.08%"
"03/09/2012","1,880","1,880","1,890","1,860","8.59M","0.53%"
"03/12/2012","1,870","1,880","1,880","1,860","3.31M","-0.53%"
"03/13/2012","1,870","1,870","1,880","1,850","4.51M","0.00%"
"03/14/2012","1,890","1,880","1,890","1,870","17.51M","1.07%"
"03/15/2012","1,840","1,880","1,880","1,840","16.95M","-2.65%"
"03/16/2012","1,810","1,840","1,850","1,800","12.84M","-1.63%"
"03/19/2012","1,810","1,820","1,830","1,810","6.31M","0.00%"
"03/20/2012","1,810","1,820","1,830","1,810","9.53M","0.00%"
"03/21/2012","1,820","1,820","1,830","1,800","6.71M","0.55%"
"03/22/2012","1,800","1,810","1,820","1,790","12.13M","-1.10%"
"03/26/2012","1,770","1,790","1,790","1,760","16.35M","-1.67%"
"03/27/2012","1,800","1,780","1,810","1,770","8.18M","1.69%"
"03/28/2012","1,820","1,800","1,820","1,790","7.56M","1.11%"
"03/29/2012","1,820","1,790","1,820","1,790","6.60M","0.00%"
"03/30/2012","1,800","1,820","1,830","1,800","10.87M","-1.10%"
"04/02/2012","1,860","1,800","1,860","1,800","20.44M","3.33%"
"04/03/2012","1,850","1,860","1,880","1,850","15.75M","-0.54%"
"04/04/2012","1,830","1,850","1,850","1,820","3.62M","-1.08%"
"04/05/2012","1,820","1,800","1,820","1,800","10.04M","-0.55%"
"04/09/2012","1,800","1,800","1,820","1,790","6.48M","-1.10%"
"04/10/2012","1,810","1,800","1,820","1,800","7.93M","0.56%"
"04/11/2012","1,790","1,800","1,810","1,780","10.25M","-1.10%"
"04/12/2012","1,760","1,780","1,800","1,740","14.22M","-1.68%"
"04/13/2012","1,750","1,770","1,780","1,740","8.63M","-0.57%"
"04/16/2012","1,710","1,750","1,750","1,710","12.22M","-2.29%"
"04/17/2012","1,710","1,710","1,720","1,700","7.20M","0.00%"
"04/18/2012","1,700","1,730","1,740","1,690","11.39M","-0.58%"
"04/19/2012","1,770","1,710","1,770","1,700","27.89M","4.12%"
"04/20/2012","1,770","1,760","1,790","1,750","23.27M","0.00%"
"04/23/2012","1,730","1,770","1,770","1,720","6.24M","-2.26%"
"04/24/2012","1,740","1,750","1,750","1,720","4.59M","0.58%"
"04/25/2012","1,730","1,740","1,750","1,730","3.05M","-0.57%"
"04/26/2012","1,730","1,750","1,760","1,720","6.16M","0.00%"
"04/27/2012","1,720","1,730","1,750","1,720","2.66M","-0.58%"
"04/30/2012","1,720","1,730","1,740","1,720","3.36M","0.00%"
"05/01/2012","1,730","1,740","1,740","1,720","1.60M","0.58%"
"05/02/2012","1,710","1,740","1,740","1,710","9.16M","-1.16%"
