"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2012","640","660","660","630","4.59M","-3.03%"
"03/13/2012","650","640","650","630","1.74M","1.56%"
"03/14/2012","660","650","660","650","5.26M","1.54%"
"03/15/2012","630","640","650","620","4.00M","-4.55%"
"03/16/2012","630","630","630","620","1.00M","0.00%"
"03/19/2012","630","630","630","600","3.49M","0.00%"
"03/20/2012","640","630","660","630","9.31M","1.59%"
"03/21/2012","640","630","650","630","2.23M","0.00%"
"03/22/2012","640","630","640","630","832.50K","0.00%"
"03/26/2012","640","620","640","620","989.00K","0.00%"
"03/27/2012","640","630","640","620","354.50K","0.00%"
"03/28/2012","630","620","630","620","1.12M","-1.56%"
"03/29/2012","640","620","640","620","1.08M","1.59%"
"03/30/2012","640","630","640","610","3.16M","0.00%"
"04/02/2012","630","630","630","620","405.50K","-1.56%"
"04/03/2012","630","630","630","610","651.50K","0.00%"
"04/04/2012","630","620","630","610","6.19M","0.00%"
"04/05/2012","670","620","670","620","24.00M","6.35%"
"04/09/2012","650","670","670","630","3.77M","-2.99%"
"04/10/2012","640","630","650","630","690.00K","-1.54%"
"04/11/2012","630","620","630","610","2.19M","-1.56%"
"04/12/2012","620","610","620","600","1.39M","-1.59%"
"04/13/2012","620","620","620","600","1.31M","0.00%"
"04/16/2012","630","610","630","600","1.73M","1.61%"
"04/17/2012","630","620","640","620","3.08M","0.00%"
"04/18/2012","630","640","640","610","1.01M","0.00%"
"04/19/2012","640","620","640","610","915.00K","1.59%"
"04/20/2012","640","640","640","620","1.06M","0.00%"
"04/23/2012","630","640","640","600","1.72M","-1.56%"
"04/24/2012","610","610","630","590","2.63M","-3.17%"
"04/25/2012","600","610","610","590","736.50K","-1.64%"
"04/26/2012","600","600","600","590","325.50K","0.00%"
"04/27/2012","590","600","610","570","4.41M","-1.67%"
"04/30/2012","580","580","590","570","1.61M","-1.69%"
"05/01/2012","580","540","580","540","2.13M","0.00%"
"05/02/2012","560","570","570","550","6.79M","-3.45%"
"05/03/2012","560","560","580","550","3.82M","0.00%"
"05/04/2012","580","570","590","560","5.45M","3.57%"
"05/07/2012","580","570","580","560","2.64M","0.00%"
"05/08/2012","570","580","580","570","2.06M","-1.72%"
"05/09/2012","570","570","580","560","3.71M","0.00%"
"05/10/2012","570","570","580","550","2.67M","0.00%"
"05/11/2012","570","560","570","560","263.50K","0.00%"
"05/14/2012","570","570","570","540","2.82M","0.00%"
"05/15/2012","560","550","560","550","476.50K","-1.75%"
"05/16/2012","540","560","560","520","2.93M","-3.57%"
"05/21/2012","550","540","560","530","1.38M","1.85%"
"05/22/2012","570","550","600","550","6.84M","3.64%"
"05/23/2012","560","570","570","550","292.50K","-1.75%"
"05/24/2012","570","550","600","550","6.12M","1.79%"
"05/25/2012","570","570","570","550","1.10M","0.00%"
"05/28/2012","560","550","560","550","632.00K","-1.75%"
"05/29/2012","540","550","550","540","1.37M","-3.57%"
"05/30/2012","540","540","540","520","613.00K","0.00%"
"05/31/2012","520","520","520","490","2.01M","-3.70%"
"06/01/2012","480","520","520","430","863.50K","-7.69%"
"06/04/2012","475","455","475","410","2.32M","-1.04%"
"06/05/2012","465","470","470","445","2.09M","-2.11%"
"06/06/2012","490","465","500","465","2.22M","5.38%"
"06/07/2012","485","500","500","460","1.91M","-1.02%"
"06/08/2012","455","475","475","450","1.07M","-6.19%"
"06/11/2012","460","455","480","455","729.50K","1.10%"
