"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2012","2,125","2,125","2,150","2,075","6.16M","1.19%"
"03/22/2012","2,125","2,100","2,150","2,100","1.83M","0.00%"
"03/26/2012","2,075","2,100","2,100","2,050","2.38M","-2.35%"
"03/27/2012","2,225","2,100","2,225","2,050","32.06M","7.23%"
"03/28/2012","2,250","2,200","2,275","2,175","17.64M","1.12%"
"03/29/2012","2,200","2,250","2,325","2,150","8.69M","-2.22%"
"03/30/2012","2,150","2,200","2,200","2,125","5.09M","-2.27%"
"04/02/2012","2,125","2,150","2,175","2,125","4.04M","-1.16%"
"04/03/2012","2,075","2,150","2,150","2,050","18.88M","-2.35%"
"04/04/2012","2,050","2,075","2,100","2,025","6.41M","-1.20%"
"04/05/2012","2,000","2,025","2,050","1,990","25.40M","-2.44%"
"04/09/2012","2,100","2,000","2,100","1,990","16.64M","5.00%"
"04/10/2012","2,075","2,100","2,100","2,050","6.86M","-1.19%"
"04/11/2012","2,025","2,050","2,075","2,025","4.37M","-2.41%"
"04/12/2012","2,100","2,025","2,100","2,025","9.36M","3.70%"
"04/13/2012","2,100","2,100","2,125","2,075","9.09M","0.00%"
"04/16/2012","2,075","2,075","2,100","2,050","1.59M","-1.19%"
"04/17/2012","2,075","2,100","2,100","2,050","3.71M","0.00%"
"04/18/2012","2,025","2,050","2,075","2,000","6.42M","-2.41%"
"04/19/2012","2,150","2,025","2,150","2,025","11.96M","6.17%"
"04/20/2012","2,225","2,150","2,225","2,125","15.26M","3.49%"
"04/23/2012","2,175","2,225","2,250","2,125","10.19M","-2.25%"
"04/24/2012","2,175","2,150","2,200","2,150","2.05M","0.00%"
"04/25/2012","2,125","2,175","2,175","2,125","1.05M","-2.30%"
"04/26/2012","2,125","2,175","2,175","2,100","1.71M","0.00%"
"04/27/2012","2,100","2,125","2,125","2,075","2.54M","-1.18%"
"04/30/2012","2,100","2,100","2,100","2,075","537.00K","0.00%"
"05/01/2012","2,100","2,100","2,100","2,050","2.32M","0.00%"
"05/02/2012","2,225","2,075","2,225","2,075","13.37M","5.95%"
"05/03/2012","2,300","2,225","2,350","2,200","18.83M","3.37%"
"05/04/2012","2,275","2,300","2,375","2,250","7.34M","-1.09%"
"05/07/2012","2,150","2,225","2,225","2,125","5.54M","-5.49%"
"05/08/2012","2,125","2,175","2,175","2,100","3.40M","-1.16%"
"05/09/2012","2,100","2,100","2,150","2,075","9.40M","-1.18%"
"05/10/2012","2,125","2,125","2,150","2,100","1.30M","1.19%"
"05/11/2012","2,100","2,125","2,125","2,075","2.57M","-1.18%"
"05/14/2012","2,050","2,100","2,150","2,050","4.18M","-2.38%"
"05/15/2012","2,025","2,025","2,050","2,000","4.99M","-1.22%"
"05/16/2012","1,960","2,000","2,025","1,950","3.30M","-3.21%"
"05/21/2012","1,920","1,950","1,970","1,910","3.70M","-2.04%"
"05/22/2012","1,930","1,960","1,960","1,910","12.07M","0.52%"
"05/23/2012","1,900","1,930","1,930","1,880","4.29M","-1.55%"
"05/24/2012","1,900","1,900","1,920","1,880","2.05M","0.00%"
"05/25/2012","1,860","1,900","1,900","1,840","2.51M","-2.11%"
"05/28/2012","1,860","1,860","1,870","1,830","1.20M","0.00%"
"05/29/2012","1,840","1,850","1,850","1,820","2.33M","-1.08%"
"05/30/2012","1,800","1,830","1,830","1,800","2.79M","-2.17%"
"05/31/2012","1,810","1,800","1,810","1,710","7.34M","0.56%"
"06/01/2012","1,800","1,770","1,830","1,760","2.64M","-0.55%"
"06/04/2012","1,660","1,730","1,730","1,590","14.30M","-7.78%"
"06/05/2012","1,650","1,670","1,700","1,600","6.42M","-0.60%"
"06/06/2012","1,760","1,650","1,760","1,650","4.65M","6.67%"
"06/07/2012","1,760","1,770","1,800","1,740","2.29M","0.00%"
"06/08/2012","1,860","1,760","1,860","1,740","4.19M","5.68%"
"06/11/2012","1,940","1,860","1,940","1,860","2.94M","4.30%"
"06/12/2012","1,870","1,930","1,930","1,860","3.71M","-3.61%"
"06/13/2012","1,830","1,880","1,880","1,820","775.50K","-2.14%"
"06/14/2012","1,760","1,820","1,850","1,740","4.85M","-3.83%"
"06/15/2012","1,820","1,780","1,910","1,720","6.78M","3.41%"
"06/18/2012","1,830","1,850","1,900","1,810","2.55M","0.55%"
"06/19/2012","1,790","1,820","1,820","1,770","1.66M","-2.19%"
"06/20/2012","1,820","1,810","1,830","1,810","2.72M","1.68%"
"06/21/2012","1,820","1,810","1,830","1,780","1.81M","0.00%"
"06/22/2012","1,810","1,780","1,820","1,770","569.00K","-0.55%"
"06/25/2012","1,760","1,820","1,820","1,760","512.00K","-2.76%"
"06/26/2012","1,750","1,760","1,760","1,740","1.32M","-0.57%"
"06/27/2012","1,760","1,770","1,790","1,740","2.79M","0.57%"
"06/28/2012","1,730","1,810","1,830","1,720","1.71M","-1.70%"
"06/29/2012","1,800","1,740","1,810","1,740","3.11M","4.05%"
"07/02/2012","1,800","1,820","1,840","1,800","2.72M","0.00%"
"07/03/2012","1,830","1,810","1,840","1,800","1.53M","1.67%"
"07/04/2012","1,840","1,840","1,860","1,830","1.52M","0.55%"
"07/05/2012","1,820","1,850","1,850","1,810","627.50K","-1.09%"
"07/06/2012","1,830","1,820","1,850","1,800","1.97M","0.55%"
"07/09/2012","1,760","1,830","1,830","1,740","2.82M","-3.83%"
"07/10/2012","1,780","1,760","1,780","1,740","1.18M","1.14%"
"07/11/2012","1,760","1,780","1,780","1,750","243.00K","-1.12%"
"07/12/2012","1,730","1,760","1,760","1,720","1.21M","-1.70%"
"07/13/2012","1,720","1,730","1,750","1,720","1.90M","-0.58%"
"07/16/2012","1,740","1,740","1,760","1,730","2.29M","1.16%"
"07/17/2012","1,800","1,750","1,810","1,740","7.32M","3.45%"
"07/18/2012","1,770","1,800","1,830","1,750","3.80M","-1.67%"
"07/19/2012","1,780","1,790","1,800","1,760","2.30M","0.56%"
"07/20/2012","1,830","1,780","1,860","1,780","9.27M","2.81%"
"07/23/2012","1,730","1,830","1,830","1,730","4.60M","-5.46%"
"07/24/2012","1,740","1,730","1,770","1,720","2.30M","0.58%"
"07/25/2012","1,740","1,730","1,740","1,710","711.50K","0.00%"
"07/26/2012","1,730","1,740","1,750","1,720","465.50K","-0.57%"
"07/27/2012","1,760","1,750","1,780","1,740","2.02M","1.73%"
"07/30/2012","1,740","1,790","1,790","1,740","1.02M","-1.14%"
"07/31/2012","1,730","1,740","1,740","1,710","2.27M","-0.57%"
"08/01/2012","1,720","1,720","1,740","1,700","1.80M","-0.58%"
"08/02/2012","1,680","1,730","1,730","1,680","1.92M","-2.33%"
"08/03/2012","1,700","1,680","1,700","1,660","3.05M","1.19%"
"08/06/2012","1,700","1,720","1,730","1,690","1.45M","0.00%"
"08/07/2012","1,710","1,710","1,730","1,700","2.74M","0.59%"
"08/08/2012","1,710","1,720","1,730","1,700","1.02M","0.00%"
"08/09/2012","1,740","1,710","1,760","1,710","7.72M","1.75%"
"08/10/2012","1,730","1,740","1,740","1,710","1.38M","-0.57%"
"08/13/2012","1,690","1,710","1,720","1,690","1.38M","-2.31%"
"08/14/2012","1,700","1,700","1,700","1,680","329.00K","0.59%"
"08/15/2012","1,680","1,690","1,700","1,670","1.42M","-1.18%"
"08/16/2012","1,700","1,680","1,700","1,680","1.78M","1.19%"
"08/23/2012","1,700","1,700","1,720","1,680","2.87M","0.00%"
"08/24/2012","1,710","1,690","1,710","1,690","903.00K","0.59%"
"08/27/2012","1,730","1,710","1,730","1,700","1.19M","1.17%"
"08/28/2012","1,690","1,710","1,720","1,680","2.67M","-2.31%"
"08/29/2012","1,670","1,690","1,700","1,660","2.26M","-1.18%"
"08/30/2012","1,640","1,660","1,660","1,630","1.87M","-1.80%"
"08/31/2012","1,680","1,630","1,680","1,610","2.79M","2.44%"
"09/03/2012","1,660","1,670","1,680","1,650","1.06M","-1.19%"
"09/04/2012","1,630","1,660","1,660","1,620","1.52M","-1.81%"
"09/05/2012","1,640","1,630","1,650","1,610","2.42M","0.61%"
"09/06/2012","1,620","1,640","1,640","1,610","870.00K","-1.22%"
"09/07/2012","1,630","1,630","1,640","1,620","1.45M","0.62%"
"09/10/2012","1,640","1,640","1,640","1,620","715.50K","0.61%"
"09/11/2012","1,620","1,640","1,640","1,620","1.59M","-1.22%"
"09/12/2012","1,620","1,620","1,630","1,610","5.61M","0.00%"
"09/13/2012","1,620","1,620","1,640","1,610","2.47M","0.00%"
"09/14/2012","1,660","1,630","1,670","1,620","14.31M","2.47%"
"09/17/2012","1,660","1,670","1,670","1,650","5.67M","0.00%"
"09/18/2012","1,710","1,660","1,740","1,660","24.59M","3.01%"
"09/19/2012","1,760","1,720","1,780","1,720","12.55M","2.92%"
"09/20/2012","1,740","1,760","1,780","1,730","5.03M","-1.14%"
"09/21/2012","1,730","1,750","1,750","1,720","2.34M","-0.57%"
"09/24/2012","1,720","1,730","1,730","1,720","2.92M","-0.58%"
"09/25/2012","1,740","1,720","1,740","1,710","4.16M","1.16%"
"09/26/2012","1,730","1,740","1,740","1,720","552.50K","-0.57%"
"09/27/2012","1,710","1,730","1,730","1,700","2.27M","-1.16%"
"09/28/2012","1,710","1,720","1,720","1,700","563.50K","0.00%"
"10/01/2012","1,720","1,710","1,730","1,710","2.46M","0.58%"
"10/02/2012","1,700","1,720","1,720","1,690","1.63M","-1.16%"
"10/03/2012","1,670","1,700","1,700","1,650","3.39M","-1.76%"
"10/04/2012","1,650","1,670","1,670","1,640","2.21M","-1.20%"
"10/05/2012","1,640","1,650","1,660","1,630","2.55M","-0.61%"
"10/08/2012","1,610","1,630","1,640","1,590","5.67M","-1.83%"
"10/09/2012","1,600","1,610","1,610","1,600","2.03M","-0.62%"
"10/10/2012","1,630","1,600","1,650","1,600","4.93M","1.88%"
"10/11/2012","1,620","1,630","1,650","1,610","2.04M","-0.61%"
"10/12/2012","1,610","1,630","1,640","1,610","1.32M","-0.62%"
"10/15/2012","1,620","1,610","1,620","1,600","347.50K","0.62%"
"10/16/2012","1,630","1,620","1,630","1,610","734.50K","0.62%"
"10/17/2012","1,610","1,630","1,640","1,600","1.86M","-1.23%"
"10/18/2012","1,630","1,620","1,630","1,610","3.13M","1.24%"
"10/19/2012","1,620","1,630","1,630","1,610","776.50K","-0.61%"
"10/22/2012","1,610","1,600","1,610","1,600","357.00K","-0.62%"
"10/23/2012","1,600","1,610","1,620","1,600","2.27M","-0.62%"
"10/24/2012","1,600","1,600","1,600","1,580","5.15M","0.00%"
"10/25/2012","1,600","1,600","1,610","1,580","1.71M","0.00%"
"10/29/2012","1,590","1,600","1,600","1,580","795.00K","-0.63%"
"10/30/2012","1,580","1,590","1,590","1,580","1.30M","-0.63%"
"10/31/2012","1,580","1,580","1,590","1,570","910.50K","0.00%"
"11/01/2012","1,570","1,580","1,580","1,560","1.43M","-0.63%"
"11/02/2012","1,590","1,580","1,590","1,560","848.00K","1.27%"
"11/05/2012","1,550","1,590","1,590","1,530","4.83M","-2.52%"
"11/06/2012","1,560","1,550","1,580","1,540","2.63M","0.65%"
"11/07/2012","1,550","1,570","1,570","1,550","6.27M","-0.64%"
"11/08/2012","1,560","1,540","1,570","1,530","9.25M","0.65%"
"11/09/2012","1,560","1,550","1,560","1,550","526.00K","0.00%"
"11/12/2012","1,550","1,560","1,560","1,550","3.18M","-0.64%"
"11/13/2012","1,560","1,550","1,560","1,550","850.50K","0.65%"
"11/14/2012","1,560","1,560","1,570","1,540","1.31M","0.00%"
"11/19/2012","1,610","1,570","1,620","1,560","8.22M","3.21%"
"11/20/2012","1,600","1,620","1,660","1,590","4.76M","-0.62%"
"11/21/2012","1,590","1,600","1,610","1,580","494.50K","-0.63%"
"11/22/2012","1,600","1,590","1,610","1,590","224.50K","0.63%"
"11/23/2012","1,570","1,600","1,600","1,550","1.13M","-1.88%"
"11/26/2012","1,570","1,580","1,580","1,560","392.00K","0.00%"
"11/27/2012","1,560","1,560","1,570","1,540","558.50K","-0.64%"
"11/28/2012","1,500","1,540","1,540","1,460","6.27M","-3.85%"
"11/29/2012","1,490","1,510","1,510","1,470","1.41M","-0.67%"
"11/30/2012","1,470","1,500","1,500","1,450","1.12M","-1.34%"
"12/03/2012","1,490","1,460","1,500","1,410","9.52M","1.36%"
"12/04/2012","1,480","1,480","1,490","1,450","782.00K","-0.67%"
"12/05/2012","1,530","1,480","1,550","1,480","3.71M","3.38%"
"12/06/2012","1,550","1,530","1,560","1,510","4.13M","1.31%"
"12/07/2012","1,540","1,550","1,550","1,530","619.50K","-0.65%"
"12/10/2012","1,490","1,530","1,540","1,490","861.50K","-3.25%"
"12/11/2012","1,470","1,490","1,500","1,440","6.48M","-1.34%"
"12/12/2012","1,470","1,470","1,500","1,450","9.36M","0.00%"
"12/13/2012","1,440","1,470","1,480","1,440","22.53M","-2.04%"
"12/14/2012","1,460","1,440","1,460","1,430","8.16M","1.39%"
"12/17/2012","1,470","1,460","1,480","1,460","2.49M","0.68%"
"12/18/2012","1,490","1,470","1,490","1,470","4.88M","1.36%"
"12/19/2012","1,560","1,500","1,560","1,480","15.42M","4.70%"
"12/20/2012","1,570","1,540","1,570","1,540","9.48M","0.64%"
"12/21/2012","1,590","1,570","1,600","1,570","6.11M","1.27%"
"12/26/2012","1,640","1,590","1,640","1,590","10.94M","3.14%"
"12/27/2012","1,640","1,640","1,650","1,640","2.92M","0.00%"
"12/28/2012","1,630","1,650","1,650","1,630","4.65M","-0.61%"
"01/02/2013","1,650","1,630","1,660","1,630","4.00M","1.23%"
"01/03/2013","1,630","1,650","1,650","1,600","3.29M","-1.21%"
"01/04/2013","1,620","1,610","1,640","1,610","836.00K","-0.61%"
"01/07/2013","1,630","1,620","1,630","1,620","592.00K","0.62%"
"01/08/2013","1,620","1,630","1,630","1,620","538.00K","-0.61%"
"01/09/2013","1,620","1,630","1,630","1,610","1.16M","0.00%"
"01/10/2013","1,600","1,630","1,630","1,590","2.09M","-1.23%"
"01/11/2013","1,610","1,600","1,630","1,590","638.00K","0.63%"
"01/14/2013","1,600","1,610","1,610","1,560","1.97M","-0.62%"
"01/15/2013","1,570","1,600","1,610","1,570","1.94M","-1.88%"
"01/16/2013","1,550","1,570","1,570","1,550","1.57M","-1.27%"
"01/17/2013","1,570","1,570","1,580","1,560","1.05M","1.29%"
"01/18/2013","1,580","1,570","1,600","1,570","1.40M","0.64%"
"01/21/2013","1,560","1,580","1,580","1,560","666.50K","-1.27%"
"01/22/2013","1,540","1,570","1,570","1,530","2.89M","-1.28%"
"01/23/2013","1,540","1,540","1,540","1,520","2.16M","0.00%"
"01/25/2013","1,540","1,550","1,550","1,530","503.00K","0.00%"
