"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2015","422","432","432","403","6.13M","-2.99%"
"06/23/2015","402","405","422","393","1.61M","-4.74%"
"06/24/2015","391","402","402","374","942.47K","-2.74%"
"06/25/2015","385","391","393","375","182.45K","-1.53%"
"06/26/2015","385","385","385","383","378.45K","0.00%"
"06/29/2015","384","403","403","383","1.09M","-0.26%"
"06/30/2015","384","374","384","374","577.57K","0.00%"
"07/01/2015","384","384","384","383","24.50K","0.00%"
"07/02/2015","384","390","390","382","383.66K","0.00%"
"07/03/2015","384","374","384","374","27.63K","0.00%"
"07/06/2015","384","384","384","374","77.15K","0.00%"
"07/07/2015","384","402","402","384","7.30K","0.00%"
"07/08/2015","384","375","384","374","51.09K","0.00%"
"07/09/2015","384","384","403","382","143.87K","0.00%"
"07/10/2015","384","384","389","384","121.46K","0.00%"
"07/13/2015","384","384","384","384","9.38K","0.00%"
"07/14/2015","384","384","384","384","4.69K","0.00%"
"07/15/2015","384","384","384","384","38.05K","0.00%"
"07/22/2015","384","384","384","384","61.51K","0.00%"
"07/23/2015","388","384","388","384","59.43K","1.04%"
"07/24/2015","384","388","388","384","10.43K","-1.03%"
"07/27/2015","384","384","384","384","81.32K","0.00%"
"07/28/2015","384","389","389","382","512.94K","0.00%"
"07/29/2015","384","384","384","384","8.86K","0.00%"
"07/30/2015","384","384","384","384","469.67K","0.00%"
"07/31/2015","384","384","384","384","36.49K","0.00%"
"08/04/2015","384","384","384","384","1.04K","0.00%"
"08/07/2015","384","384","384","384","0.52K","0.00%"
"08/12/2015","384","374","384","355","26.59K","0.00%"
"08/21/2015","384","355","384","355","2.61K","0.00%"
"08/24/2015","383","355","383","355","6.26K","-0.26%"
"08/26/2015","388","388","388","388","1.04K","1.31%"
"08/27/2015","387","387","387","387","0.52K","-0.26%"
"09/02/2015","374","374","374","374","0.52K","-3.36%"
"09/03/2015","364","364","364","364","51.61K","-2.67%"
"09/04/2015","384","364","384","364","12.51K","5.49%"
"09/17/2015","389","389","389","389","0.52K","1.30%"
"09/21/2015","384","384","384","374","12.51K","-1.29%"
"09/29/2015","389","389","389","389","0.52K","1.30%"
"10/02/2015","380","380","380","380","1.04K","-2.31%"
"10/05/2015","380","380","380","380","1.56K","0.00%"
"10/06/2015","388","388","388","388","2.61K","2.11%"
"10/07/2015","384","384","384","384","1.56K","-1.03%"
"10/08/2015","387","387","387","387","1.04K","0.78%"
"10/15/2015","374","374","379","374","4.17K","-3.36%"
"10/16/2015","387","387","387","387","1.04K","3.48%"
"10/19/2015","374","374","374","374","2.09K","-3.36%"
"10/20/2015","387","387","387","387","6.26K","3.48%"
"10/21/2015","386","374","386","364","15.12K","-0.26%"
"10/23/2015","384","374","384","374","2.61K","-0.52%"
"10/26/2015","384","384","384","374","4.69K","0.00%"
"10/27/2015","381","384","384","355","13.03K","-0.78%"
"10/28/2015","384","374","384","355","7.82K","0.79%"
"10/29/2015","384","355","384","355","52.65K","0.00%"
"11/03/2015","379","379","379","379","0.52K","-1.30%"
"11/06/2015","383","383","383","383","0.52K","1.06%"
"11/10/2015","373","384","384","360","14.07K","-2.61%"
"11/11/2015","384","384","384","384","31.28K","2.95%"
"11/18/2015","364","364","364","364","5.73K","-5.21%"
"11/19/2015","381","383","383","364","7.30K","4.67%"
"11/20/2015","381","381","381","381","0.52K","0.00%"
"11/24/2015","384","383","384","383","13.03K","0.79%"
"11/25/2015","388","388","388","387","6.26K","1.04%"
"11/26/2015","386","386","386","386","2.61K","-0.52%"
"11/30/2015","388","388","388","388","1.04K","0.52%"
"12/04/2015","389","389","389","389","0.52K","0.26%"
"12/08/2015","388","388","388","388","0.52K","-0.26%"
"12/14/2015","389","389","389","389","0.52K","0.26%"
"12/29/2015","385","385","385","385","2.61K","-1.03%"
"12/30/2015","387","384","387","384","6.78K","0.52%"
"01/04/2016","389","389","389","389","0.52K","0.52%"
"01/05/2016","383","364","383","364","5.73K","-1.54%"
"01/06/2016","389","389","389","389","15.64K","1.57%"
"01/21/2016","384","384","384","384","6.26K","-1.29%"
"02/01/2016","364","348","364","348","10.43K","-5.21%"
"02/09/2016","364","364","364","364","2.09K","0.00%"
"02/10/2016","364","364","364","364","258.55K","0.00%"
"02/19/2016","364","364","364","364","5.21K","0.00%"
"03/02/2016","350","364","364","350","10.95K","-3.85%"
"03/03/2016","350","350","350","350","0.52K","0.00%"
"03/04/2016","350","350","350","350","6.26K","0.00%"
"03/07/2016","355","356","356","355","13.55K","1.43%"
"03/08/2016","350","350","350","350","79.23K","-1.41%"
"03/10/2016","364","350","364","350","31.28K","4.00%"
"03/11/2016","355","355","355","355","1.04K","-2.47%"
"03/14/2016","331","355","355","331","190.27K","-6.76%"
"03/15/2016","326","326","326","326","47.96K","-1.51%"
"03/16/2016","327","327","328","327","29.71K","0.31%"
"03/17/2016","326","328","328","326","194.44K","-0.31%"
"03/21/2016","326","326","330","326","30.23K","0.00%"
"03/24/2016","318","318","318","318","0.52K","-2.45%"
"03/28/2016","312","318","318","312","169.41K","-1.89%"
"03/29/2016","374","374","374","374","0.52K","19.87%"
"03/30/2016","378","374","378","368","11.99K","1.07%"
"04/01/2016","382","382","382","382","6.26K","1.06%"
"04/08/2016","364","364","364","364","4.17K","-4.71%"
"04/11/2016","364","369","369","364","4.69K","0.00%"
"04/13/2016","364","364","364","364","11.47K","0.00%"
"04/15/2016","345","364","364","345","28.67K","-5.22%"
"04/18/2016","313","326","326","313","8.86K","-9.28%"
"04/19/2016","314","314","314","314","9.90K","0.32%"
"04/20/2016","314","314","314","314","6.26K","0.00%"
"04/28/2016","383","332","386","332","9.38K","21.97%"
"04/29/2016","389","364","389","347","10.95K","1.57%"
"05/02/2016","364","365","365","364","214.77K","-6.43%"
"05/10/2016","374","374","374","374","1.04K","2.75%"
"05/11/2016","374","374","374","374","2.09K","0.00%"
"05/12/2016","364","364","364","364","4.17K","-2.67%"
"05/13/2016","363","374","374","363","25.54K","-0.27%"
"05/16/2016","393","363","393","359","87.57K","8.26%"
"05/17/2016","389","389","389","389","0.52K","-1.02%"
"05/18/2016","388","389","389","388","496.78K","-0.26%"
"05/19/2016","389","389","389","389","109.47K","0.26%"
"05/20/2016","386","386","386","386","0.52K","-0.77%"
"05/25/2016","364","364","364","364","9.90K","-5.70%"
"05/26/2016","364","364","364","364","10.43K","0.00%"
"06/01/2016","355","364","364","355","260.64K","-2.47%"
"06/02/2016","351","347","351","347","12.51K","-1.13%"
"06/03/2016","384","347","384","347","136.57K","9.40%"
"06/09/2016","384","384","384","384","19.81K","0.00%"
"06/10/2016","384","380","384","380","7.82K","0.00%"
"06/13/2016","366","366","366","366","22.41K","-4.69%"
"06/14/2016","374","366","374","355","140.74K","2.19%"
"06/15/2016","364","374","374","364","138.14K","-2.67%"
"06/16/2016","366","366","366","366","6.26K","0.55%"
"06/17/2016","368","368","368","368","6.26K","0.55%"
"06/20/2016","368","368","368","368","0.52K","0.00%"
"06/21/2016","366","370","370","366","6.26K","-0.54%"
"06/22/2016","368","368","368","368","15.12K","0.55%"
"06/24/2016","370","374","374","370","97.48K","0.54%"
"06/27/2016","384","374","384","374","326.32K","3.78%"
"06/28/2016","370","376","376","364","221.02K","-3.65%"
"06/29/2016","384","370","384","370","242.39K","3.78%"
"06/30/2016","380","376","380","376","17.72K","-1.04%"
"07/11/2016","376","380","380","376","7.82K","-1.05%"
"07/13/2016","389","374","393","374","2.52M","3.46%"
"07/14/2016","389","389","389","389","6.78K","0.00%"
"07/18/2016","384","384","384","384","12.51K","-1.29%"
"07/19/2016","391","386","391","386","105.82K","1.82%"
"07/20/2016","397","393","397","389","147.52K","1.53%"
"07/21/2016","384","389","389","374","426.93K","-3.27%"
"07/22/2016","382","376","384","376","372.19K","-0.52%"
"07/25/2016","376","376","376","376","1.56K","-1.57%"
"07/26/2016","384","376","384","376","22.94K","2.13%"
"07/27/2016","374","376","376","374","12.51K","-2.60%"
"07/28/2016","374","364","374","364","191.31K","0.00%"
"07/29/2016","384","384","384","384","0.52K","2.67%"
"08/01/2016","384","374","384","374","13.03K","0.00%"
"08/03/2016","384","384","384","384","145.96K","0.00%"
"08/04/2016","384","384","384","384","7.82K","0.00%"
"08/05/2016","374","384","384","364","267.94K","-2.60%"
"08/08/2016","374","374","374","374","31.28K","0.00%"
"08/09/2016","374","374","374","374","5.21K","0.00%"
"08/10/2016","374","374","374","374","5.21K","0.00%"
"08/11/2016","374","374","374","374","6.26K","0.00%"
"08/15/2016","376","376","376","376","127.71K","0.53%"
"08/18/2016","370","370","370","370","6.78K","-1.60%"
"08/19/2016","370","370","370","370","7.30K","0.00%"
"08/22/2016","369","369","369","369","7.30K","-0.27%"
"08/23/2016","370","370","370","370","6.26K","0.27%"
"08/24/2016","370","370","370","370","13.55K","0.00%"
"08/26/2016","369","370","370","369","15.12K","-0.27%"
"08/30/2016","369","370","370","369","17.72K","0.00%"
"08/31/2016","384","384","384","384","9.38K","4.07%"
"09/02/2016","384","372","384","372","17.20K","0.00%"
"09/05/2016","384","384","384","384","10.43K","0.00%"
"09/06/2016","365","382","382","365","34.93K","-4.95%"
"09/07/2016","365","365","366","364","75.06K","0.00%"
"09/08/2016","384","384","384","384","0.52K","5.21%"
"09/09/2016","364","374","374","345","276.80K","-5.21%"
"09/13/2016","366","366","366","366","6.78K","0.55%"
"09/14/2016","364","366","366","364","118.85K","-0.55%"
"09/19/2016","357","364","364","357","38.57K","-1.92%"
"09/21/2016","374","374","374","374","5.73K","4.76%"
"09/22/2016","374","374","374","374","6.78K","0.00%"
"09/23/2016","374","374","374","374","14.07K","0.00%"
"09/26/2016","374","374","374","374","5.73K","0.00%"
"09/27/2016","374","374","374","374","7.30K","0.00%"
"09/28/2016","374","374","374","374","6.26K","0.00%"
"09/30/2016","384","374","388","374","69.33K","2.67%"
"10/03/2016","366","374","374","366","12.51K","-4.69%"
"10/06/2016","368","374","374","368","6.78K","0.55%"
"10/07/2016","372","372","372","372","6.26K","1.09%"
"10/10/2016","372","372","372","372","6.26K","0.00%"
"10/13/2016","372","376","376","372","10.43K","0.00%"
"10/17/2016","378","378","378","378","1.56K","1.61%"
"10/18/2016","374","374","376","374","17.20K","-1.06%"
"10/19/2016","376","374","376","372","5.21K","0.53%"
"10/20/2016","372","376","376","372","14.07K","-1.06%"
"10/21/2016","366","366","366","366","2.61K","-1.61%"
"10/24/2016","376","369","376","369","428.49K","2.73%"
"10/25/2016","380","380","380","380","7.82K","1.06%"
"10/26/2016","376","376","376","376","5.21K","-1.05%"
"10/27/2016","370","374","376","370","28.15K","-1.60%"
"10/28/2016","428","407","428","407","1.04K","15.68%"
"10/31/2016","391","412","412","388","30.23K","-8.64%"
"11/02/2016","372","384","391","372","60.47K","-4.86%"
"11/03/2016","386","384","388","380","13.03K","3.76%"
"11/04/2016","386","386","386","386","5.21K","0.00%"
"11/07/2016","384","386","386","384","43.27K","-0.52%"
"11/08/2016","384","388","388","384","2.61K","0.00%"
"11/09/2016","384","386","386","384","10.43K","0.00%"
"11/10/2016","384","384","384","384","7.82K","0.00%"
"11/11/2016","384","382","384","382","804.85K","0.00%"
"11/14/2016","382","384","384","382","86.53K","-0.52%"
"11/15/2016","393","393","393","393","0.52K","2.88%"
"11/16/2016","391","384","391","384","64.64K","-0.51%"
"11/17/2016","384","384","384","384","8.86K","-1.79%"
"11/21/2016","384","384","384","384","13.55K","0.00%"
"11/22/2016","386","389","389","386","106.34K","0.52%"
"11/23/2016","388","386","388","386","73.50K","0.52%"
"11/24/2016","384","384","384","384","12.51K","-1.03%"
"11/25/2016","384","384","384","382","7.30K","0.00%"
"11/28/2016","384","384","384","384","113.64K","0.00%"
"11/29/2016","386","386","386","386","1.56K","0.52%"
"11/30/2016","384","386","386","384","337.27K","-0.52%"
"12/01/2016","384","384","384","384","2.61K","0.00%"
"12/02/2016","384","384","384","384","104.26K","0.00%"
"12/05/2016","384","384","384","384","6.26K","0.00%"
"12/07/2016","384","384","384","384","6.26K","0.00%"
"12/08/2016","384","384","384","384","16.68K","0.00%"
"12/09/2016","384","384","384","384","120.94K","0.00%"
"12/13/2016","384","384","384","384","130.32K","0.00%"
"12/14/2016","399","399","399","399","198.09K","3.91%"
"12/16/2016","384","384","384","384","0.52K","-3.76%"
"12/19/2016","384","384","384","384","1.04K","0.00%"
"12/20/2016","384","384","384","384","8.34K","0.00%"
"12/21/2016","384","384","384","384","6.26K","0.00%"
"12/23/2016","384","384","384","384","104.78K","0.00%"
"12/27/2016","384","384","384","384","1.04K","0.00%"
"12/28/2016","384","384","384","384","67.77K","0.00%"
"12/30/2016","384","384","384","384","1.04K","0.00%"
"01/03/2017","384","384","384","384","2.09K","0.00%"
"01/04/2017","382","384","384","382","12.51K","-0.52%"
"01/05/2017","382","382","382","382","5.73K","0.00%"
"01/06/2017","382","382","382","382","0.52K","0.00%"
"01/09/2017","382","382","382","382","5.73K","0.00%"
"01/10/2017","382","382","382","382","10.43K","0.00%"
"01/16/2017","382","382","382","382","10.43K","0.00%"
"01/17/2017","380","382","382","380","10.95K","-0.52%"
"01/19/2017","380","384","384","380","9.38K","0.00%"
"01/23/2017","378","380","380","378","1.04K","-0.53%"
"01/24/2017","380","380","380","380","10.43K","0.53%"
"01/25/2017","370","380","380","370","19.29K","-2.63%"
"01/26/2017","370","370","370","370","5.73K","0.00%"
"01/27/2017","371","371","371","371","10.43K","0.27%"
"01/30/2017","375","375","375","375","10.95K","1.08%"
"01/31/2017","378","378","378","376","29.19K","0.80%"
"02/01/2017","380","380","380","378","59.95K","0.53%"
"02/03/2017","374","374","374","374","15.64K","-1.58%"
"02/06/2017","373","373","373","373","5.21K","-0.27%"
"02/07/2017","388","428","428","386","137.10K","4.02%"
"02/08/2017","388","389","389","388","26.06K","0.00%"
"02/10/2017","374","384","384","374","12.51K","-3.61%"
"02/13/2017","403","374","403","374","212.68K","7.75%"
"02/14/2017","403","403","403","403","0.52K","0.00%"
"02/16/2017","378","412","412","378","58.90K","-6.20%"
"02/17/2017","382","403","403","382","310.16K","1.06%"
"02/20/2017","381","384","384","381","313.29K","-0.26%"
"02/21/2017","382","382","382","379","527.01K","0.26%"
"02/24/2017","403","403","403","403","59.43K","5.50%"
"02/27/2017","426","403","426","403","181.40K","5.71%"
"02/28/2017","407","407","407","407","3.65K","-4.46%"
"03/01/2017","409","409","409","409","0.52K","0.49%"
"03/02/2017","422","422","422","422","5.21K","3.18%"
"03/03/2017","439","439","439","439","27.11K","4.03%"
"03/07/2017","435","432","439","432","53.17K","-0.91%"
"03/08/2017","384","435","435","384","255.43K","-11.72%"
"03/09/2017","403","386","403","384","130.32K","4.95%"
"03/10/2017","403","403","403","403","521.28K","0.00%"
"03/13/2017","403","422","422","384","1.93M","0.00%"
"03/14/2017","403","393","403","393","457.68K","0.00%"
"03/16/2017","432","422","432","422","27.63K","7.20%"
"03/17/2017","432","432","432","432","1.15M","0.00%"
"03/20/2017","393","432","432","393","83.93K","-9.03%"
"03/21/2017","432","422","432","422","10.95K","9.92%"
"03/22/2017","422","422","422","422","20.85K","-2.31%"
"03/23/2017","432","422","441","422","3.06M","2.37%"
"03/24/2017","412","412","412","412","2.61K","-4.63%"
"03/27/2017","460","460","460","460","2.61K","11.65%"
"03/29/2017","480","460","480","460","20.85K","4.35%"
"03/30/2017","495","460","495","460","167.85K","3.13%"
"03/31/2017","480","480","497","460","154.82K","-3.03%"
"04/03/2017","480","497","497","480","2.09K","0.00%"
"04/04/2017","470","480","480","441","93.31K","-2.08%"
"04/05/2017","470","476","499","451","63.60K","0.00%"
