"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2025","26,950","25,975","27,200","25,975","7.30M","3.75%"
"10/16/2025","25,975","26,000","26,100","25,825","1.19M","0.10%"
"10/15/2025","25,950","25,875","26,000","25,525","2.05M","1.67%"
"10/14/2025","25,525","26,200","26,225","25,500","1.74M","-1.83%"
"10/13/2025","26,000","25,025","26,125","25,025","2.94M","1.56%"
"10/10/2025","25,600","25,750","25,900","25,300","2.10M","-0.97%"
"10/09/2025","25,850","25,000","25,975","25,000","2.62M","2.68%"
"10/08/2025","25,175","25,225","25,225","24,725","2.33M","-1.66%"
"10/07/2025","25,600","26,250","26,300","25,500","4.11M","-3.03%"
"10/06/2025","26,400","26,500","26,525","26,200","1.81M","-0.38%"
"10/03/2025","26,500","26,150","26,875","26,150","2.10M","1.34%"
"10/02/2025","26,150","26,275","26,325","26,075","1.12M","0.38%"
"10/01/2025","26,050","26,800","26,800","26,000","3.45M","-2.71%"
"09/30/2025","26,775","27,300","27,300","26,525","3.30M","-0.56%"
"09/29/2025","26,925","26,675","27,150","26,450","2.71M","2.18%"
"09/26/2025","26,350","26,700","26,825","26,325","1.81M","-1.22%"
"09/25/2025","26,675","26,700","26,900","26,425","2.23M","0.09%"
"09/24/2025","26,650","27,450","27,450","26,650","2.91M","-2.02%"
"09/23/2025","27,200","26,850","27,250","26,675","3.28M","1.68%"
"09/22/2025","26,750","26,950","26,975","26,550","2.09M","0.00%"
"09/19/2025","26,750","26,625","26,775","26,300","3.61M","1.33%"
"09/18/2025","26,400","27,000","27,000","26,400","3.31M","-2.22%"
"09/17/2025","27,000","26,725","27,000","26,725","2.79M","1.12%"
"09/16/2025","26,700","26,450","26,775","26,225","2.32M","1.52%"
"09/15/2025","26,300","26,700","27,075","26,300","3.31M","-0.66%"
"09/12/2025","26,475","26,650","26,650","26,175","2.22M","-0.19%"
"09/11/2025","26,525","27,175","27,175","26,350","2.94M","0.66%"
"09/10/2025","26,350","27,200","27,250","26,350","3.13M","-3.13%"
"09/09/2025","27,200","26,450","27,500","26,450","8.89M","2.84%"
"09/08/2025","26,450","25,700","27,000","25,475","11.78M","4.34%"
"09/04/2025","25,350","25,925","26,000","25,325","3.18M","-0.98%"
"09/03/2025","25,600","25,900","25,975","25,250","5.08M","-1.16%"
"09/02/2025","25,900","24,725","25,900","24,650","5.20M","5.82%"
"09/01/2025","24,475","24,000","24,800","23,500","4.45M","0.31%"
"08/29/2025","24,400","24,600","24,800","24,350","4.36M","-1.11%"
"08/28/2025","24,675","25,050","25,225","24,675","2.57M","-1.30%"
"08/27/2025","25,000","24,650","25,225","24,650","2.37M","1.63%"
"08/26/2025","24,600","25,450","25,650","24,475","6.67M","-2.48%"
"08/25/2025","25,225","25,875","26,125","25,225","5.21M","-2.23%"
"08/22/2025","25,800","25,900","25,900","25,400","4.91M","0.00%"
"08/21/2025","25,800","24,475","25,850","24,250","10.58M","5.74%"
"08/20/2025","24,400","23,700","24,400","23,675","2.61M","3.06%"
"08/19/2025","23,675","24,000","24,000","23,250","3.96M","-1.35%"
"08/15/2025","24,000","24,300","24,300","24,000","1.94M","-0.72%"
"08/14/2025","24,175","24,175","24,275","24,100","2.14M","0.73%"
"08/13/2025","24,000","24,200","24,500","23,900","3.62M","-0.83%"
"08/12/2025","24,200","24,275","24,475","24,100","2.65M","-0.31%"
"08/11/2025","24,275","24,200","24,450","24,125","1.92M","0.52%"
"08/08/2025","24,150","24,100","24,350","23,900","2.36M","0.21%"
"08/07/2025","24,100","24,075","24,300","23,975","2.60M","0.21%"
"08/06/2025","24,050","24,350","24,375","23,925","5.23M","-1.23%"
"08/05/2025","24,350","24,500","24,500","24,200","1.86M","-0.61%"
"08/04/2025","24,500","24,050","24,500","23,800","3.63M","1.98%"
"08/01/2025","24,025","24,150","24,175","23,800","2.34M","-0.52%"
"07/31/2025","24,150","24,375","24,400","23,925","4.02M","-0.92%"
"07/30/2025","24,375","24,200","24,400","24,150","3.18M","0.93%"
"07/29/2025","24,150","24,300","24,300","23,975","2.66M","-0.10%"
"07/28/2025","24,175","24,250","24,300","23,950","3.84M","1.36%"
"07/25/2025","23,850","24,225","24,225","23,725","2.56M","-1.55%"
"07/24/2025","24,225","24,150","24,325","23,875","4.36M","0.94%"
"07/23/2025","24,000","23,175","24,000","23,100","10.11M","4.12%"
"07/22/2025","23,050","22,975","23,150","22,925","4.61M","0.44%"
"07/21/2025","22,950","22,675","22,950","22,475","3.35M","2.11%"
"07/18/2025","22,475","22,625","22,775","22,475","2.97M","-0.55%"
"07/17/2025","22,600","22,600","22,600","22,400","2.29M","0.11%"
"07/16/2025","22,575","22,600","22,625","22,375","2.97M","-0.11%"
"07/15/2025","22,600","22,600","22,600","22,450","2.51M","0.11%"
"07/14/2025","22,575","22,400","22,600","22,250","4.77M","0.78%"
"07/11/2025","22,400","22,300","22,400","22,225","3.36M","0.90%"
"07/10/2025","22,200","21,975","22,250","21,850","4.63M","1.02%"
"07/09/2025","21,975","21,600","21,975","21,600","2.69M","1.74%"
"07/08/2025","21,600","21,450","21,600","21,400","2.48M","0.70%"
"07/07/2025","21,450","21,550","21,550","21,225","1.94M","-0.46%"
"07/04/2025","21,550","21,500","21,550","21,375","1.95M","0.23%"
"07/03/2025","21,500","21,500","21,550","21,325","1.66M","0.94%"
"07/02/2025","21,300","21,475","21,625","21,225","3.93M","-0.81%"
"07/01/2025","21,475","21,275","21,500","21,175","3.88M","0.12%"
"06/30/2025","21,450","21,450","21,625","21,300","3.92M","1.66%"
"06/26/2025","21,100","21,100","21,100","20,950","2.99M","0.00%"
"06/25/2025","21,100","21,625","21,625","21,025","3.48M","-0.35%"
"06/24/2025","21,175","21,075","21,275","21,075","1.89M","1.32%"
"06/23/2025","20,900","21,300","21,300","20,900","4.74M","-2.56%"
"06/20/2025","21,450","21,425","21,475","21,275","7.08M","0.00%"
"06/19/2025","21,450","21,800","21,900","21,350","3.10M","-1.61%"
"06/18/2025","21,800","21,975","22,075","21,725","2.43M","-0.23%"
"06/17/2025","21,850","22,150","22,150","21,850","2.99M","-1.13%"
"06/16/2025","22,100","21,975","22,300","21,975","5.39M","0.57%"
"06/13/2025","21,975","21,700","22,025","21,600","3.84M","1.62%"
